"binomil","X","Y","scientificName"
"Baronia brevicornis",-693552.181526246,-2687544.94051098,"Baronia brevicornis"
"Parides alopius",-693552.181526246,-2687544.94051098,"Parides alopius"
"Amblyscirtes fluonia",-693552.181526246,-2687544.94051098,"Amblyscirtes fluonia"
"Adelpha barnesia",-693552.181526246,-2687544.94051098,"Adelpha barnesia"
"Adelpha serpa",-693552.181526246,-2687544.94051098,"Adelpha serpa"
"Chlosyne marina",-693552.181526246,-2687544.94051098,"Chlosyne marina"
"Chlosyne marina",-693552.181526246,-2687544.94051098,"Chlosyne marina"
"Chlosyne rosita",-693552.181526246,-2687544.94051098,"Chlosyne rosita"
"Chlosyne rosita",-693552.181526246,-2687544.94051098,"Chlosyne rosita"
"Adelpha donysa",-693552.181526246,-2687544.94051098,"Adelpha donysa"
"Adelpha basiloides",-693552.181526246,-2687544.94051098,"Adelpha basiloides"
"Adelpha bredowii",-693552.181526246,-2687544.94051098,"Adelpha bredowii"
"Chlosyne lacinia",-693552.181526246,-2687544.94051098,"Chlosyne lacinia"
"Chlosyne melanarge",-693552.181526246,-2687544.94051098,"Chlosyne melanarge"
"Adelpha lycorias",-693552.181526246,-2687544.94051098,"Adelpha lycorias"
"Amblyscirtes fimbriata",-693552.181526246,-2687544.94051098,"Amblyscirtes fimbriata"
"Amblyscirtes raphaeli",-693552.181526246,-2687544.94051098,"Amblyscirtes raphaeli"
"Antigonus emorsa",-693552.181526246,-2687544.94051098,"Antigonus emorsa"
"Antigonus funebris",-693552.181526246,-2687544.94051098,"Antigonus funebris"
"Adelpha fessonia",-693552.181526246,-2687544.94051098,"Adelpha fessonia"
"Adelpha iphicleola",-693552.181526246,-2687544.94051098,"Adelpha iphicleola"
"Adelpha iphiclus",-693552.181526246,-2687544.94051098,"Adelpha iphiclus"
"Anartia fatima",-693552.181526246,-2687544.94051098,"Anartia fatima"
"Anartia jatrophae",-693552.181526246,-2687544.94051098,"Anartia jatrophae"
"Glutophrissa drusilla",-693552.181526246,-2687544.94051098,"Glutophrissa drusilla"
"Catonephele numilia",-693552.181526246,-2687544.94051098,"Catonephele numilia"
"Calephelis mexicana",-693552.181526246,-2687544.94051098,"Calephelis mexicana"
"Adelpha paraena",-693552.181526246,-2687544.94051098,"Adelpha paraena"
"Caligo memnon",-693552.181526246,-2687544.94051098,"Caligo memnon"
"Astraptes enotrus",-693552.181526246,-2687544.94051098,"Astraptes enotrus"
"Astraptes fulgerator",-693552.181526246,-2687544.94051098,"Astraptes fulgerator"
"Astraptes alector",-693552.181526246,-2687544.94051098,"Astraptes alector"
"Bolla giselus",-693552.181526246,-2687544.94051098,"Bolla giselus"
"Adelpha leuceria",-693552.181526246,-2687544.94051098,"Adelpha leuceria"
"Adelpha naxia",-693552.181526246,-2687544.94051098,"Adelpha naxia"
"Adelpha paroeca",-693552.181526246,-2687544.94051098,"Adelpha paroeca"
"Adelpha phylaca",-693552.181526246,-2687544.94051098,"Adelpha phylaca"
"Arawacus jada",-693552.181526246,-2687544.94051098,"Arawacus jada"
"Arawacus sito",-693552.181526246,-2687544.94051098,"Arawacus sito"
"Autochton neis",-693552.181526246,-2687544.94051098,"Autochton neis"
